arm,task,best_r2_mean,best_r2_std,steps_to_thr_mean,dead_frac_mean
fresh,41,0.5203060922935815,0.21779945566184225,24.25,0.05555555555555555
fresh,42,0.4430582175124161,0.1759720724759167,30.333333333333332,0.041666666666666664
fresh,43,0.4979242013005083,0.1925812173523582,30.75,0.041666666666666664
fresh,44,0.4507118664166247,0.20136753827920043,20.666666666666668,0.05555555555555555
fresh,45,0.4067959951353499,0.11603924852038003,30.0,0.020833333333333332
fresh,46,0.36145611076314244,0.09254287595272458,33.5,0.04861111111111111
fresh,47,0.35909188265338504,0.16232978828838043,33.5,0.06597222222222222
fresh,48,0.4337696063281027,0.1995925661562102,26.666666666666668,0.09722222222222222
fresh,49,0.46470968580741917,0.18371084370042612,29.5,0.048611111111111105
fresh,50,0.5022227964625875,0.1670447789652016,24.0,0.048611111111111105
fresh,51,0.4748823374942366,0.23887880322016086,21.0,0.07986111111111112
fresh,52,0.5227463664194226,0.2070393250582499,27.2,0.06597222222222222
fresh,53,0.5699972688449425,0.23575565063671666,21.5,0.06597222222222222
fresh,54,0.4666452442988001,0.26067120178934405,13.5,0.08333333333333333
fresh,55,0.3565525123276479,0.12323345019856115,29.5,0.1076388888888889
fresh,56,0.4463330969300065,0.17144660025178415,28.0,0.03472222222222222
fresh,57,0.4192243556455791,0.17621360698586724,33.0,0.07986111111111112
fresh,58,0.42720426932076966,0.1304305411081562,33.5,0.04513888888888889
fresh,59,0.4207589750470316,0.15069638599595678,27.5,0.0625
fresh,60,0.4503840367102445,0.15132293485480872,32.333333333333336,0.020833333333333332
fresh,61,0.4952834356467364,0.07195254810802955,34.333333333333336,0.01736111111111111
fresh,62,0.46409102230161375,0.0624019085243538,34.2,0.010416666666666666
fresh,63,0.41430388435598436,0.1047051599373647,33.0,0.07986111111111112
fresh,64,0.45437861754248293,0.15917621400046603,25.0,0.041666666666666664
fresh,65,0.5035797930076006,0.17646929288411153,22.666666666666668,0.09027777777777779
fresh,66,0.4826326887887013,0.13393306266479552,33.2,0.01736111111111111
fresh,67,0.5441335772301735,0.15752022047333178,27.4,0.045138888888888895
fresh,68,0.5198399697571771,0.1645150001857092,28.25,0.09027777777777779
fresh,69,0.472862260081176,0.17660627989153244,25.666666666666668,0.05208333333333334
fresh,70,0.5089680626570258,0.17087910763397884,30.6,0.0625
fresh,71,0.5468000894265516,0.18211455936255874,24.0,0.01736111111111111
fresh,72,0.5074462442802569,0.1575332940325448,27.75,0.03472222222222222
fresh,73,0.41613286863956295,0.18055697856174777,28.5,0.05555555555555556
fresh,74,0.4235192062587972,0.13063506719727389,30.666666666666668,0.03819444444444445
fresh,75,0.4872689013982498,0.20210357677701732,29.0,0.03472222222222222
fresh,76,0.47220934687157534,0.1838146261915852,26.0,0.045138888888888895
fresh,77,0.324320568246099,0.033752745459460144,,0.06597222222222221
fresh,78,0.4419603772226853,0.09081532803914309,33.25,0.04513888888888889
fresh,79,0.4032747274272916,0.1023380930210233,32.0,0.052083333333333336
fresh,80,0.5070349352016862,0.1121162952903509,30.0,0.03125000000000001
fresh,81,0.4841598550819051,0.07413610110254243,32.4,0.024305555555555556
fresh,82,0.5256060138101403,0.18251139880344205,25.5,0.010416666666666666
fresh,83,0.5289199292544206,0.11579254630315951,28.75,0.041666666666666664
fresh,84,0.5355198623735794,0.14443933354526067,28.0,0.003472222222222222
fresh,85,0.5981795740599588,0.1594040084717157,26.8,0.024305555555555556
fresh,86,0.47220762303523767,0.1561016382107239,25.666666666666668,0.034722222222222224
fresh,87,0.5270523435666371,0.14901354587716298,29.5,0.04513888888888889
fresh,88,0.43006772078724803,0.1233548172735604,31.666666666666668,0.10069444444444446
fresh,89,0.44471220307433734,0.14488008601621633,30.0,0.03125
fresh,90,0.3908844424289899,0.1465085931420957,30.0,0.1388888888888889
fresh,91,0.45072968283472425,0.12887402683324464,31.25,0.0763888888888889
fresh,92,0.44700961270432843,0.1025255231039134,33.75,0.07291666666666667
fresh,93,0.5066760430381075,0.11168811392101823,33.333333333333336,0.05555555555555555
fresh,94,0.5135645559592389,0.19496654289509438,25.0,0.052083333333333336
fresh,95,0.5625076666619979,0.19805082397788837,25.2,0.03819444444444445
fresh,96,0.5635561551832352,0.19163683738008733,27.0,0.034722222222222224
fresh,97,0.4170685479882141,0.11902920567606783,25.0,0.07986111111111109
fresh,98,0.5303347502105702,0.24071633104586473,15.666666666666666,0.07638888888888888
fresh,99,0.51060210093547,0.17799401957785377,29.4,0.010416666666666666
fresh,100,0.42949018779460957,0.1696638262018607,27.666666666666668,0.03819444444444444
l2init,1,0.43152951256948996,0.18824952230580821,28.0,0.0
l2init,2,0.48512784774019796,0.19660225673991807,18.333333333333332,0.0
l2init,3,0.4137392405056139,0.10612686021884785,34.666666666666664,0.0
l2init,4,0.4919224380890404,0.177814933000077,22.333333333333332,0.0
l2init,5,0.5177679356215449,0.173334727023619,25.25,0.0
l2init,6,0.4343163111481909,0.18241611352253168,27.0,0.0
l2init,7,0.4495833328689333,0.1852270834305379,19.333333333333332,0.0
l2init,8,0.33153107372067475,0.10280239893977372,29.0,0.0
l2init,9,0.3738072722116188,0.15050448734168317,24.5,0.0
l2init,10,0.4271107260263833,0.13323187964798494,16.5,0.0
l2init,11,0.4303589225313305,0.19770816669676725,19.5,0.0
l2init,12,0.52359313869362,0.19012280280187466,19.75,0.0
l2init,13,0.46878636992108524,0.13816509821373982,28.75,0.0
l2init,14,0.4484780705796514,0.2019341279077891,26.0,0.0
l2init,15,0.48925643720713197,0.19806388861172927,19.666666666666668,0.0
l2init,16,0.4256538790651416,0.17149883896835585,19.0,0.0
l2init,17,0.4879422072562852,0.1402877432767267,26.333333333333332,0.0
l2init,18,0.3916955619999267,0.10302266844347902,35.5,0.0
l2init,19,0.48216601758782573,0.1837479457528723,29.75,0.0
l2init,20,0.5761932156601072,0.13319753055806915,26.6,0.0
l2init,21,0.4162953201146304,0.18134377697547455,23.5,0.0
l2init,22,0.4897511497986368,0.20615065340710928,18.666666666666668,0.0
l2init,23,0.3718803407477231,0.12370928304026826,18.0,0.0
l2init,24,0.3695975325844861,0.08863862149077759,34.5,0.0
l2init,25,0.40967383949205977,0.19267903672309453,18.5,0.0
l2init,26,0.3687582611402034,0.13824592585840045,27.0,0.0
l2init,27,0.43252661459575786,0.11501799105493084,28.75,0.0
l2init,28,0.5358170927665409,0.174126684003085,22.25,0.0
l2init,29,0.4851359991154069,0.17458046594105328,19.666666666666668,0.0
l2init,30,0.39719683645091036,0.16477636980286575,25.0,0.0
l2init,31,0.3416368065332273,0.11702453880144086,27.0,0.0
l2init,32,0.3355733093954744,0.061438776774526166,36.5,0.0
l2init,33,0.41289970145653715,0.14409935028361667,28.0,0.0
l2init,34,0.35321974586116434,0.1640494684059147,29.0,0.0
l2init,35,0.44779022359026505,0.16319282585130712,29.5,0.0
l2init,36,0.38991200722745495,0.16402700183245744,23.0,0.0
l2init,37,0.31849346894276875,0.04199803808120272,,0.0
l2init,38,0.3383998500294993,0.09085583498963068,29.0,0.0
l2init,39,0.38651888482367536,0.13509628394430187,32.333333333333336,0.0
